,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
87,byron bay,75,AU,1592511464,93,-28.65,153.62,57.20,8.05
88,khuzhir,0,RU,1592511464,60,53.19,107.34,49.01,11.03
89,cherskiy,0,RU,1592511464,36,68.75,161.3,69.13,7.52
90,diffa,12,NE,1592511465,47,13.32,12.61,88.21,8.37
91,bara,50,NG,1592511465,71,10.37,10.73,76.35,8.75
92,bonavista,100,CA,1592511465,78,48.65,-53.11,63.00,10.00
93,henties bay,0,NA,1592511465,47,-22.12,14.28,73.00,8.10
94,norman wells,75,CA,1592511465,36,65.28,-126.83,77.00,12.75
95,camacari,40,BR,1592511221,69,-12.7,-38.32,82.40,8.05
96,kudahuvadhoo,96,MV,1592511466,70,2.67,72.89,84.60,2.48
97,pringsewu,100,ID,1592511466,92,-5.36,104.97,73.56,1.90
98,hengshui,0,CN,1592511466,71,37.73,115.7,68.09,6.13
99,connersville,75,US,1592511310,47,39.64,-85.14,82.99,4.70
100,lashio,100,MM,1592511466,100,22.93,97.75,70.02,1.54
101,nikolskoye,75,RU,1592511467,68,59.7,30.79,69.80,6.71
102,chokurdakh,71,RU,1592511467,38,70.63,147.92,77.02,5.14
103,pevek,0,RU,1592511467,73,69.7,170.31,40.55,10.27
104,norwich,100,GB,1592511467,72,52.63,1.3,64.40,8.05
105,provideniya,4,RU,1592511467,62,64.38,-173.3,57.20,4.47
106,namibe,0,AO,1592511543,71,-15.2,12.15,71.35,2.93
107,kimparana,57,ML,1592511543,43,12.83,-4.92,93.83,9.93
108,new norfolk,100,AU,1592511543,83,-42.78,147.06,41.00,2.17
109,bengkulu,98,ID,1592511525,87,-3.8,102.27,76.14,4.92
110,touros,90,BR,1592511544,94,-5.2,-35.46,75.20,9.17
111,bereda,36,ES,1592511544,83,43.27,-7.54,60.01,4.00
112,bukama,0,CD,1592511544,42,-9.2,25.85,64.69,2.91
113,biak,100,ID,1592511544,82,-0.91,122.88,77.16,7.40
114,mar del plata,75,AR,1592511544,76,-38.0,-57.56,57.99,11.41
115,coihaique,40,CL,1592511544,57,-45.58,-72.07,51.80,5.82
116,chuy,43,UY,1592511452,78,-33.7,-53.46,62.67,13.44
117,comodoro rivadavia,67,AR,1592511301,41,-45.87,-67.5,59.00,20.80
118,roald,0,NO,1592511545,72,62.58,6.13,66.99,19.46
119,haines junction,100,CA,1592511545,49,60.75,-137.51,59.85,3.87
120,ponezhukay,89,RU,1592511545,68,44.89,39.39,73.00,4.47
121,sorland,0,NO,1592511524,85,67.67,12.69,47.59,24.92
122,brookhaven,20,US,1592511546,38,31.58,-90.44,89.01,4.70
123,gap,14,FR,1592511546,76,44.67,6.0,55.99,2.51
124,leningradskiy,94,RU,1592511546,62,69.38,178.42,43.63,6.40
125,kisangani,42,CD,1592511546,58,0.52,25.2,72.07,0.72
126,aberdeen,90,GB,1592511539,82,57.14,-2.1,55.99,5.82
127,donskoye,29,RU,1592511547,88,45.46,41.97,62.60,6.71
128,tuktoyaktuk,75,CA,1592511420,87,69.45,-133.04,44.60,9.17
129,tancheng,72,CN,1592511547,92,27.44,115.5,76.37,1.68
130,alekseyevsk,0,RU,1592511547,91,57.84,108.35,45.57,3.62
131,atar,1,MR,1592511548,15,20.52,-13.05,100.90,12.10
132,vaini,20,TO,1592511548,73,-21.2,-175.2,73.40,11.41
133,avera,90,US,1592511516,48,33.19,-82.53,84.20,6.93
134,choya,26,RU,1592511548,89,52.01,86.55,52.25,5.32
135,teya,90,RU,1592511549,71,60.38,92.63,54.03,3.42
136,faanui,100,PF,1592511549,79,-16.48,-151.75,79.90,3.94
137,lingdong,4,CN,1592511549,92,46.57,131.15,47.14,1.97
138,qiongshan,85,CN,1592511549,88,20.01,110.35,80.60,6.71
139,bambous virieux,75,MU,1592511549,73,-20.34,57.76,71.60,13.87
140,mahebourg,75,MU,1592511549,73,-20.41,57.7,71.60,13.87
141,evensk,87,RU,1592511550,81,61.95,159.23,51.33,4.14
142,azanka,20,RU,1592511550,72,58.04,64.79,40.93,4.25
143,hobyo,75,SO,1592511550,74,5.35,48.53,79.50,27.54
144,tasiilaq,100,GL,1592511550,70,65.61,-37.64,44.60,48.32
145,high rock,75,BS,1592511550,88,26.62,-78.28,77.00,16.11
146,constitucion,100,CL,1592511551,86,-35.33,-72.42,55.58,24.18
147,jamestown,40,US,1592511365,54,42.1,-79.24,79.00,10.29
148,pithora,100,IN,1592511551,71,21.27,82.52,82.53,11.97
149,nizwa,0,OM,1592511551,44,22.93,57.53,89.44,3.36
150,eyl,26,SO,1592511551,68,7.98,49.82,81.45,27.42
151,ponta do sol,20,PT,1592511552,73,32.67,-17.1,69.80,8.05
152,tezu,99,IN,1592511552,85,27.92,96.17,75.85,3.09
153,inhambane,7,MZ,1592511552,81,-23.86,35.38,67.30,9.91
154,vestmannaeyjar,67,IS,1592511553,76,63.44,-20.27,49.33,20.02
155,tahe,100,CN,1592511553,86,52.33,124.73,52.86,3.40
156,vila franca do campo,75,PT,1592511501,77,37.72,-25.43,64.40,9.17
157,rocha,100,UY,1592511553,78,-34.48,-54.33,59.02,13.24
158,bela,98,IN,1592511553,77,25.93,81.98,83.01,6.82
159,north platte,1,US,1592511488,38,41.12,-100.77,75.20,10.29
160,gubkinskiy,35,RU,1592511554,72,64.43,76.5,39.09,12.48
161,longyearbyen,75,SJ,1592511554,65,78.22,15.64,44.60,5.82
162,concordia,90,AR,1592511554,87,-31.39,-58.02,57.99,9.17
